[0.0, 0.0]
[0.003027027027027028, 0.0]
[0.010162162162162165, -0.0007500000000000007]
[0.01383783783783784, -0.0013124999999999942]
[0.017513513513513514, -0.002250000000000002]
[0.022486486486486493, -0.0030000000000000027]
[0.027459459459459466, -0.0039374999999999966]
[0.031135135135135137, -0.004687499999999997]
[0.0358918918918919, -0.005624999999999991]
[0.04086486486486486, -0.0059999999999999915]
[0.04627027027027027, -0.006749999999999992]
[0.051459459459459456, -0.0073124999999999996]
[0.043891891891891896, -0.00037500000000000033]
[0.04000000000000001, 0.004312500000000004]
[0.02810810810810811, 0.014437500000000006]
[0.023135135135135137, 0.018000000000000002]
[0.019891891891891892, 0.021000000000000005]
[0.02356756756756757, 0.025500000000000002]
[0.03027027027027027, 0.030937500000000007]
[0.03632432432432432, 0.035625000000000004]
[0.04000000000000001, 0.03975000000000001]
[0.044540540540540546, 0.044250000000000005]
[0.04756756756756757, 0.04781250000000001]
[0.049513513513513505, 0.05025]
[0.04627027027027027, 0.050812500000000003]
[0.03935135135135136, 0.051000000000000004]
[0.03481081081081082, 0.0504375]
[0.029837837837837836, 0.049875]
[0.02572972972972973, 0.049125]
[0.021837837837837843, 0.04818750000000001]
[0.01772972972972973, 0.04743750000000001]
[0.012756756756756759, 0.04668750000000001]
[0.008432432432432434, 0.046125]
[0.0034594594594594616, 0.045562500000000006]
[-0.0006486486486486503, 0.045000000000000005]
[0.0358918918918919, 0.006375000000000006]
