[0.01708108108108108, -0.06675]
[0.02010810810810811, -0.06675]
[0.027243243243243245, -0.0675]
[0.03091891891891892, -0.0680625]
[0.034594594594594595, -0.069]
[0.039567567567567574, -0.06975]
[0.044540540540540546, -0.0706875]
[0.04821621621621622, -0.0714375]
[0.05297297297297298, -0.072375]
[0.057945945945945945, -0.07275]
[0.06335135135135135, -0.0735]
[0.06854054054054054, -0.0740625]
[0.06097297297297297, -0.067125]
[0.05708108108108109, -0.0624375]
[0.04518918918918919, -0.0523125]
[0.04021621621621622, -0.04875]
[0.03697297297297297, -0.04575]
[0.04064864864864865, -0.04125]
[0.04735135135135135, -0.0358125]
[0.05340540540540541, -0.031124999999999996]
[0.05708108108108109, -0.027]
[0.06162162162162163, -0.0225]
[0.06464864864864865, -0.0189375]
[0.06659459459459459, -0.0165]
[0.06335135135135135, -0.0159375]
[0.056432432432432435, -0.01575]
[0.051891891891891896, -0.0163125]
[0.04691891891891892, -0.016875]
[0.04281081081081081, -0.017625]
[0.038918918918918924, -0.0185625]
[0.03481081081081081, -0.0193125]
[0.02983783783783784, -0.0200625]
[0.025513513513513515, -0.020625]
[0.020540540540540542, -0.021187499999999998]
[0.01643243243243243, -0.02175]
[0.05297297297297298, -0.060375]
