[0.0, 0.0]
[0.0045405405405405455, 0.0007500000000000007]
[0.008000000000000004, 0.0020000000000000018]
[0.011243243243243245, 0.003499999999999996]
[0.017513513513513518, 0.0037499999999999964]
[0.019891891891891895, -0.005749999999999998]
[0.019459459459459462, -0.018250000000000002]
[0.019459459459459462, -0.022500000000000006]
[0.019459459459459462, -0.030750000000000006]
[0.01902702702702703, -0.037000000000000005]
[0.017729729729729735, -0.043]
[0.013189189189189189, -0.04550000000000001]
[0.00778378378378379, -0.04450000000000001]
[0.004108108108108112, -0.04375000000000001]
[0.0012972972972973007, -0.0435]
[0.01881081081081082, -0.04500000000000001]
[0.038270270270270274, -0.046500000000000014]
[0.043243243243243246, -0.04725]
[0.04605405405405405, -0.04775]
[0.028108108108108112, -0.04575]
[0.024432432432432434, -0.04575]
[0.02032432432432433, -0.0012500000000000011]
[0.02118918918918919, 0.005499999999999998]
[0.027243243243243245, 0.006249999999999999]
[0.03200000000000001, 0.006999999999999999]
[0.036108108108108106, 0.007999999999999997]
[0.03978378378378379, 0.009249999999999998]
[0.04345945945945946, 0.010249999999999995]
[0.04951351351351352, 0.010999999999999996]
