[0.020756756756756756, -0.0305]
[0.0252972972972973, -0.02975]
[0.02875675675675676, -0.028499999999999998]
[0.032, -0.027000000000000003]
[0.038270270270270274, -0.026750000000000003]
[0.04064864864864865, -0.03625]
[0.04021621621621622, -0.04875]
[0.04021621621621622, -0.053000000000000005]
[0.04021621621621622, -0.061250000000000006]
[0.039783783783783784, -0.0675]
[0.03848648648648649, -0.0735]
[0.033945945945945945, -0.07600000000000001]
[0.028540540540540546, -0.07500000000000001]
[0.024864864864864868, -0.07425000000000001]
[0.022054054054054056, -0.074]
[0.039567567567567574, -0.07550000000000001]
[0.05902702702702703, -0.07700000000000001]
[0.064, -0.07775]
[0.0668108108108108, -0.07825]
[0.04886486486486487, -0.07625]
[0.04518918918918919, -0.07625]
[0.041081081081081085, -0.03175]
[0.041945945945945945, -0.025]
[0.048, -0.02425]
[0.05275675675675676, -0.0235]
[0.05686486486486486, -0.022500000000000003]
[0.06054054054054055, -0.02125]
[0.06421621621621622, -0.020250000000000004]
[0.07027027027027027, -0.019500000000000003]
