[0.017513513513513514, -0.03725]
[0.022054054054054056, -0.03625]
[0.029189189189189193, -0.03575]
[0.03762162162162162, -0.038250000000000006]
[0.03654054054054054, -0.044750000000000005]
[0.03437837837837838, -0.04975]
[0.031783783783783784, -0.05625]
[0.028972972972972973, -0.06225000000000001]
[0.025729729729729728, -0.06899999999999999]
[0.022702702702702707, -0.07500000000000001]
[0.02010810810810811, -0.08100000000000002]
[0.019243243243243245, -0.08375]
[0.04064864864864865, -0.052000000000000005]
[0.04151351351351351, -0.06]
[0.043243243243243246, -0.06575]
[0.04864864864864865, -0.07275000000000001]
[0.05297297297297298, -0.07475000000000001]
[0.05902702702702703, -0.07375000000000001]
[0.06594594594594595, -0.06575]
[0.06875675675675676, -0.06]
[0.07091891891891892, -0.05450000000000001]
[0.07243243243243244, -0.04875]
[0.07286486486486486, -0.04225]
[0.07221621621621621, -0.034999999999999996]
[0.07048648648648649, -0.03175]
[0.05686486486486486, -0.032]
[0.0492972972972973, -0.0325]
[0.04151351351351351, -0.0335]
