[0.0, 0.0]
[0.00021621621621621678, -0.00825]
[0.00043243243243243357, -0.01675]
[0.0010810810810810804, -0.023]
[0.002594594594594598, -0.028250000000000004]
[0.005405405405405406, -0.03325000000000001]
[0.010162162162162165, -0.03525]
[0.01427027027027027, -0.03225000000000001]
[0.017081081081081088, -0.027250000000000003]
[0.018810810810810815, -0.0225]
[0.02140540540540541, -0.018999999999999996]
[0.021621621621621626, -0.013249999999999998]
[0.02205405405405406, -0.010000000000000002]
[0.02421621621621622, -0.027500000000000004]
[0.025729729729729738, -0.032499999999999994]
[0.02810810810810811, -0.03725]
[0.03264864864864865, -0.0415]
[0.038270270270270274, -0.04125]
[0.04194594594594596, -0.03875]
[0.04583783783783785, -0.03325000000000001]
[0.04756756756756758, -0.02799999999999999]
[0.049081081081081085, -0.02275]
[0.05016216216216217, -0.017750000000000002]
[0.05081081081081082, -0.011249999999999996]
[0.05124324324324325, -0.004500000000000004]
[0.051027027027027036, 0.0]
[0.050378378378378386, 0.004750000000000004]
[0.04821621621621622, 0.0085]
[0.04410810810810811, 0.00775]
[0.038918918918918924, 0.006999999999999999]
[0.03416216216216217, 0.006500000000000006]
[0.02637837837837838, 0.006000000000000005]
[0.019675675675675675, 0.005250000000000005]
[0.015351351351351353, 0.004250000000000004]
[0.010594594594594598, 0.0037500000000000033]
[0.006270270270270273, 0.0027499999999999955]
[0.002378378378378381, 0.0017499999999999946]
