[0.019675675675675675, -0.041]
[0.019891891891891892, -0.04925]
[0.02010810810810811, -0.05775]
[0.020756756756756756, -0.064]
[0.022270270270270273, -0.06925]
[0.02508108108108108, -0.07425000000000001]
[0.02983783783783784, -0.07625]
[0.033945945945945945, -0.07325000000000001]
[0.03675675675675676, -0.06825]
[0.03848648648648649, -0.0635]
[0.041081081081081085, -0.06]
[0.0412972972972973, -0.05425]
[0.041729729729729735, -0.051000000000000004]
[0.043891891891891896, -0.0685]
[0.045405405405405413, -0.0735]
[0.047783783783783784, -0.07825]
[0.05232432432432432, -0.0825]
[0.057945945945945945, -0.08225]
[0.06162162162162163, -0.07975]
[0.06551351351351352, -0.07425000000000001]
[0.06724324324324325, -0.06899999999999999]
[0.06875675675675676, -0.06375]
[0.06983783783783784, -0.058750000000000004]
[0.07048648648648649, -0.05225]
[0.07091891891891892, -0.045500000000000006]
[0.07070270270270271, -0.041]
[0.07005405405405406, -0.03625]
[0.06789189189189189, -0.0325]
[0.06378378378378378, -0.03325]
[0.058594594594594596, -0.034]
[0.05383783783783785, -0.034499999999999996]
[0.04605405405405406, -0.034999999999999996]
[0.03935135135135135, -0.03575]
[0.03502702702702703, -0.03675]
[0.030270270270270273, -0.03725]
[0.025945945945945948, -0.038250000000000006]
[0.022054054054054056, -0.03925000000000001]
