[0.016648648648648647, -0.0315]
[0.017945945945945948, -0.0313125]
[0.02767567567567568, -0.0315]
[0.0307027027027027, -0.030749999999999996]
[0.035243243243243245, -0.03]
[0.035243243243243245, -0.0358125]
[0.035243243243243245, -0.043875]
[0.036108108108108106, -0.048937499999999995]
[0.03762162162162162, -0.0526875]
[0.03935135135135135, -0.0555]
[0.04432432432432433, -0.05925]
[0.047783783783783784, -0.0601875]
[0.056432432432432435, -0.059625]
[0.06118918918918919, -0.0549375]
[0.06313513513513513, -0.0511875]
[0.06421621621621622, -0.047625]
[0.06508108108108109, -0.043875]
[0.06551351351351352, -0.03975]
[0.06508108108108109, -0.034125]
[0.06356756756756757, -0.030375]
[0.057945945945945945, -0.028874999999999998]
[0.05513513513513514, -0.028874999999999998]
[0.043891891891891896, -0.029062499999999998]
