[0.0, 0.0]
[0.0012972972972973007, 0.00018750000000000017]
[0.011027027027027032, 0.0]
[0.014054054054054053, 0.0007500000000000041]
[0.018594594594594598, 0.0015000000000000013]
[0.018594594594594598, -0.004312499999999997]
[0.018594594594594598, -0.012374999999999997]
[0.01945945945945946, -0.017437499999999995]
[0.020972972972972976, -0.021187499999999998]
[0.022702702702702703, -0.024]
[0.027675675675675682, -0.027749999999999997]
[0.031135135135135137, -0.028687499999999998]
[0.03978378378378379, -0.028124999999999997]
[0.044540540540540546, -0.0234375]
[0.046486486486486484, -0.019687499999999997]
[0.04756756756756757, -0.016125]
[0.048432432432432435, -0.012374999999999997]
[0.04886486486486487, -0.00825]
[0.048432432432432435, -0.0026250000000000023]
[0.04691891891891892, 0.001125000000000001]
[0.041297297297297295, 0.0026250000000000023]
[0.03848648648648649, 0.0026250000000000023]
[0.02724324324324325, 0.002437500000000002]
