[0.003027027027027027, -0.026250000000000002]
[0.0071351351351351365, -0.02525]
[0.010378378378378378, -0.024]
[0.015783783783783784, -0.023000000000000003]
[0.019243243243243245, -0.022000000000000002]
[0.02508108108108108, -0.022750000000000003]
[0.025513513513513515, -0.027250000000000003]
[0.02464864864864865, -0.03900000000000001]
[0.024216216216216217, -0.0485]
[0.024216216216216217, -0.053500000000000006]
[0.024864864864864868, -0.0595]
[0.024864864864864868, -0.07125000000000001]
[0.02464864864864865, -0.07475000000000001]
[0.02983783783783784, -0.020250000000000004]
[0.033945945945945945, -0.019000000000000003]
[0.038270270270270274, -0.01775]
[0.04345945945945946, -0.0165]
[0.049081081081081085, -0.01625]
[0.05297297297297298, -0.021]
[0.05297297297297298, -0.0335]
[0.05297297297297298, -0.03925000000000001]
[0.05297297297297298, -0.046250000000000006]
[0.05297297297297298, -0.052000000000000005]
[0.05275675675675676, -0.08050000000000002]
[0.05318918918918919, -0.0855]
[0.05340540540540541, -0.08800000000000001]
[0.05318918918918919, -0.06925]
[0.05318918918918919, -0.059]
[0.05210810810810811, -0.013750000000000002]
