[0.0, 0.0]
[0.004108108108108109, 0.0010000000000000009]
[0.007351351351351351, 0.002250000000000002]
[0.012756756756756756, 0.0032499999999999994]
[0.016216216216216217, 0.00425]
[0.022054054054054053, 0.0034999999999999996]
[0.022486486486486486, -0.0010000000000000009]
[0.021621621621621623, -0.012750000000000004]
[0.02118918918918919, -0.02225]
[0.02118918918918919, -0.027250000000000003]
[0.02183783783783784, -0.033249999999999995]
[0.02183783783783784, -0.045000000000000005]
[0.021621621621621623, -0.04850000000000001]
[0.026810810810810812, 0.005999999999999998]
[0.030918918918918917, 0.0072499999999999995]
[0.035243243243243245, 0.008500000000000004]
[0.040432432432432434, 0.009750000000000002]
[0.04605405405405406, 0.010000000000000002]
[0.04994594594594595, 0.005250000000000001]
[0.04994594594594595, -0.0072499999999999995]
[0.04994594594594595, -0.013000000000000005]
[0.04994594594594595, -0.020000000000000004]
[0.04994594594594595, -0.025750000000000002]
[0.049729729729729735, -0.054250000000000013]
[0.05016216216216216, -0.059250000000000004]
[0.05037837837837838, -0.061750000000000006]
[0.05016216216216216, -0.043000000000000003]
[0.05016216216216216, -0.032749999999999994]
[0.049081081081081085, 0.0125]
