[0.011027027027027026, -0.057937499999999996]
[0.013783783783783784, -0.056624999999999995]
[0.018486486486486486, -0.0553125]
[0.022702702702702703, -0.054]
[0.026270270270270266, -0.0534375]
[0.027243243243243242, -0.069]
[0.02708108108108108, -0.0735]
[0.03097297297297297, -0.05175]
[0.03616216216216216, -0.050625]
[0.04054054054054054, -0.049312499999999995]
[0.0445945945945946, -0.047437499999999994]
[0.04832432432432432, -0.043875]
[0.0445945945945946, -0.040875]
[0.0407027027027027, -0.039562499999999994]
[0.03681081081081081, -0.03768749999999999]
[0.03259459459459459, -0.0361875]
[0.028702702702702698, -0.0346875]
[0.025135135135135135, -0.03225]
[0.026108108108108107, -0.02325]
[0.025459459459459457, -0.0200625]
[0.02221621621621622, -0.0331875]
[0.018, -0.0315]
[0.014594594594594595, -0.0301875]
[0.011513513513513512, -0.0294375]
[0.026432432432432432, -0.039375]
[0.02659459459459459, -0.0433125]
