[0.0, 0.0]
[0.002756756756756757, 0.0013125000000000012]
[0.00745945945945946, 0.0026249999999999954]
[0.011675675675675677, 0.0039374999999999966]
[0.01524324324324324, 0.004499999999999997]
[0.016216216216216217, -0.01106250000000001]
[0.01605405405405405, -0.0155625]
[0.019945945945945946, 0.0061874999999999986]
[0.025135135135135135, 0.007312499999999993]
[0.029513513513513515, 0.008625]
[0.03356756756756757, 0.010500000000000002]
[0.03729729729729729, 0.014062499999999999]
[0.03356756756756757, 0.017062499999999994]
[0.029675675675675674, 0.018375000000000002]
[0.02578378378378378, 0.020250000000000004]
[0.021567567567567565, 0.02175]
[0.01767567567567567, 0.023249999999999993]
[0.014108108108108109, 0.025687499999999995]
[0.01508108108108108, 0.034687499999999996]
[0.01443243243243243, 0.03787499999999999]
[0.011189189189189193, 0.024749999999999994]
[0.006972972972972972, 0.026437499999999996]
[0.0035675675675675683, 0.027749999999999997]
[0.00048648648648648603, 0.028499999999999998]
[0.015405405405405406, 0.018562499999999996]
[0.015567567567567565, 0.014624999999999999]
