[0.0, 0.0]
[0.00016216216216216085, 0.004312500000000011]
[0.0006486486486486469, 0.01106250000000001]
[0.0008108108108108095, 0.015187500000000007]
[0.0008108108108108095, 0.033375]
[0.0016216216216216207, 0.03937500000000001]
[0.004540540540540539, 0.0410625]
[0.012972972972972974, 0.04087500000000001]
[0.015567567567567565, 0.04125000000000001]
[0.02254054054054054, 0.04125000000000001]
[0.02708108108108108, 0.04125000000000001]
[0.031783783783783784, 0.04162500000000001]
[0.03551351351351352, 0.0421875]
[0.0394054054054054, 0.043125000000000004]
[0.04216216216216216, 0.043875000000000004]
[0.0006486486486486469, 0.024187500000000008]
[0.0006486486486486469, 0.021750000000000005]
