[0.00891891891891892, -0.0675]
[0.00908108108108108, -0.0631875]
[0.009567567567567567, -0.056437499999999995]
[0.00972972972972973, -0.0523125]
[0.00972972972972973, -0.034125]
[0.01054054054054054, -0.028124999999999997]
[0.013459459459459458, -0.0264375]
[0.021891891891891894, -0.026625]
[0.024486486486486485, -0.02625]
[0.03145945945945946, -0.02625]
[0.036, -0.02625]
[0.0407027027027027, -0.025875]
[0.04443243243243244, -0.0253125]
[0.04832432432432432, -0.024375]
[0.05108108108108108, -0.023625]
[0.009567567567567567, -0.0433125]
[0.009567567567567567, -0.04575]
