[0.01318918918918919, -0.07625]
[0.01535135135135135, -0.072]
[0.01772972972972973, -0.0675]
[0.020324324324324326, -0.06275]
[0.023135135135135137, -0.057499999999999996]
[0.025945945945945948, -0.05225]
[0.028108108108108112, -0.04725]
[0.0307027027027027, -0.04225]
[0.03372972972972973, -0.038500000000000006]
[0.039567567567567574, -0.044250000000000005]
[0.04216216216216217, -0.04875]
[0.04497297297297298, -0.054000000000000006]
[0.047783783783783784, -0.059250000000000004]
[0.0505945945945946, -0.064]
[0.05405405405405406, -0.06949999999999999]
[0.05751351351351352, -0.07500000000000001]
[0.06075675675675676, -0.07950000000000002]
[0.03913513513513514, -0.03325]
[0.044756756756756756, -0.033]
[0.0505945945945946, -0.0325]
[0.05686486486486486, -0.0315]
[0.06054054054054055, -0.03075]
[0.06810810810810812, -0.031]
[0.0307027027027027, -0.034999999999999996]
[0.026594594594594595, -0.034749999999999996]
[0.021405405405405406, -0.0355]
[0.014702702702702703, -0.0355]
[0.012972972972972974, -0.03575]
