[0.0, 0.0]
[0.002162162162162159, 0.004250000000000004]
[0.00454054054054054, 0.008749999999999994]
[0.007135135135135135, 0.013499999999999998]
[0.009945945945945946, 0.018750000000000003]
[0.012756756756756757, 0.024]
[0.014918918918918922, 0.028999999999999998]
[0.01751351351351351, 0.033999999999999996]
[0.02054054054054054, 0.03774999999999999]
[0.026378378378378385, 0.031999999999999994]
[0.02897297297297298, 0.027499999999999997]
[0.03178378378378379, 0.022249999999999992]
[0.034594594594594595, 0.016999999999999994]
[0.03740540540540541, 0.012249999999999997]
[0.04086486486486487, 0.006750000000000006]
[0.04432432432432433, 0.0012499999999999872]
[0.047567567567567574, -0.0032500000000000168]
[0.02594594594594595, 0.043]
[0.03156756756756757, 0.04325]
[0.03740540540540541, 0.04375]
[0.04367567567567567, 0.04475]
[0.04735135135135136, 0.0455]
[0.05491891891891893, 0.04525]
[0.01751351351351351, 0.04125]
[0.013405405405405404, 0.0415]
[0.008216216216216215, 0.04075]
[0.0015135135135135123, 0.04075]
[-0.00021621621621621678, 0.0405]
